guideword,grammar,example,level,type,scene_uid,uid
subjonctif présent,"utiliser le subjonctif présent après des expressions de nécessité, de souhait ou d'émotion","Il est important que je sache mon texte par coeur.
Il faut que tu saches ce que je pense.
On veut qu'il sache ce qu'on ressent.",B2,Verbs Tenses & Conjugation,799,1597
verbe savoir,conjuguer le verbe irrégulier 'savoir' au subjonctif présent,"que je sache
que tu saches
qu'il/elle/on sache
que nous sachions
que vous sachiez
qu'ils/elles sachent",B2,Verbs Tenses & Conjugation,799,1598
terminaisons subjonctif,"appliquer les terminaisons régulières du subjonctif présent (-e, -es, -e, -ions, -iez, -ent) à un verbe irrégulier","sach- + -e = sache
sach- + -es = saches
sach- + -e = sache
sach- + -ions = sachions
sach- + -iez = sachiez
sach- + -ent = sachent",B2,Verbs Tenses & Conjugation,800,1599
aimer que / détester que,utiliser le subjonctif après des expressions de goût ou de préférence,"J'aime que tu sois si attentif.
Elle déteste qu'il prenne son temps quand elle est en retard.
Nous ne détestons pas que vous nous apportiez le petit-déjeuner au lit.
La maîtresse n'aime pas que les élèves ne fassent pas attention.",B2,Verbs Tenses & Conjugation,800,1600
subjonctif dans les phrases conditionnelles,exprimer un souhait ou une hypothèse avec le subjonctif après 'aimer/détester' à l’imparfait du conditionnel,"Nous détesterions qu'il disparaisse...
J'aimerais que tu sois plus gentil avec ma mère.",B2,Verbs Tenses & Conjugation,801,1601
subjonctif vs indicatif,"distinguer l’usage du subjonctif (après aimer que/détester que) et de l’indicatif (après penser que, croire que, etc. en forme affirmative)",« Penser/trouver/savoir/croire/prétendre que » sont suivis de l’indicatif à l’affirmatif mais du subjonctif au négatif.,B2,Verbs Tenses & Conjugation,801,1602
conjugaison au subjonctif présent,"conjuguer les verbes courants (être, avoir, faire, pouvoir, prendre, savoir) au subjonctif présent","sois (être)
prenne (prendre)
apportiez (apporter)
fassent (faire)
disparaisse (disparaître)",B2,Verbs Tenses & Conjugation,802,1603
impératif être,pouvoir conjuguer le verbe irrégulier 'être' à l'impératif présent pour donner des ordres ou des conseils,"sois
soyons
soyez",B2,Verbs Tenses & Conjugation,802,1604
impératif avoir,pouvoir conjuguer le verbe irrégulier 'avoir' à l'impératif présent pour exprimer des injonctions ou encouragements,"aie
ayons
ayez",B2,Verbs Tenses & Conjugation,803,1605
impératif savoir,pouvoir conjuguer le verbe irrégulier 'savoir' à l'impératif présent pour formuler des conseils ou des exhortations,"sache
sachons
sachez",B2,Verbs Tenses & Conjugation,803,1606
négation impératif,pouvoir former des ordres négatifs à l'impératif avec 'ne...pas' autour du verbe,"ne sois pas méchant avec ton frère !
n'aie pas peur !",B2,Verbs Tenses & Conjugation,804,1607
dont = including,utiliser 'dont' pour exprimer l'inclusion d'un élément dans un ensemble,"J'ai acheté deux manteaux, dont un pour l'hiver.
Il y a 45 vaches dans cette ferme, dont dix blanches.
Annie aime les romans de Jane Austen, dont Orgueil et Préjugés et Emma.",B2,Pronouns,804,1608
dont + [nombre] + qui/que,"construire une proposition relative avec 'dont' suivi d’un nombre et d’un verbe conjugué, en ajoutant 'qui' ou 'que' selon le rôle grammatical","J'ai trois enfants, dont deux qui sont au collège.
Marie possède cinq tableaux, dont deux qu'elle a achetés aux puces.
Le chanteur a interprété trois chansons, dont une qu'il avait écrite spécialement pour l'occasion.
J'ai trois cousines, dont une qui habite aux États-Unis.",B2,Pronouns,805,1609
repasser + être,utiliser l'auxiliaire être avec repasser pour exprimer le fait de passer à nouveau quelque part,"Tu es repassé à la boulangerie car tu avais oublié les croissants.
Il est repassé par chez toi mais tu étais déjà parti.
Nous sommes repassés par le lac: c'était magnifique.",B2,Verbs Tenses & Conjugation,805,1610
repasser + avoir,utiliser l'auxiliaire avoir avec repasser lorsqu'il a un complément d'objet direct (verbe transitif),"Chéri, tu as repassé ma chemise pour demain?
Il a repassé tous les draps que j'avais laissés.
Nous avons repassé notre bac.",B2,Verbs Tenses & Conjugation,806,1611
verbes à deux auxiliaires,identifier les verbes qui peuvent utiliser avoir ou être selon qu'ils sont transitifs ou intransitifs,"Demeurer, Descendre, Monter, Passer, Rentrer, Retourner, Sortir",B2,Verbs Tenses & Conjugation,806,1612
transitif vs intransitif,distinguer l'usage de avoir (verbe transitif) et être (verbe intransitif) dans le passé composé,"repasser + préposition → être
repasser + nom (COD) → avoir",B2,Verbs Tenses & Conjugation,807,1613
double pronoms objet à l'impératif,utiliser la position correcte des pronoms objets dans les ordres affirmatifs,"Donne-les-moi !
Amusez-vous-y !
Envoie-le-leur !",B2,Pronouns,807,1614
me/te → moi/toi à l'impératif,remplacer les pronoms objets directs me/te par les formes accentuées moi/toi après le verbe à l'impératif,"Donne-moi le livre → Donne-moi-le !
Parle-moi → Parle-moi-en !",B2,Pronouns,808,1615
ordre des pronoms objets,placer le pronom objet direct (le/la/les) avant le pronom objet indirect (lui/nous/vous/leur) à l'impératif,Envoie-le-leur !,B2,Pronouns,808,1616
en/y en fin de groupe,mettre les pronoms adverbiaux en/y après les autres pronoms objets à l'impératif,"Amusez-vous-y !
Parle-m'en !",B2,Pronouns,809,1617
m'/t' devant en/y,"utiliser les formes élidées m' et t' avant en ou y, sans trait d'union entre eux","Donne-t'en !
Parle-m'en !",B2,Pronouns,809,1618
aller (imparfait) + infinitif,exprimer une intention passée non réalisée ou sur le point de se produire (le futur proche dans le passé),"J'allais fermer la porte quand tu m'as appelé.
Tu allais manquer ton avion, c'est pour ça que tu t'es dépêché.
Elle allait appeler la police !
Allions-nous y arriver ? Personne ne le savait.
Vous alliez vous rejoindre plus tard.
Oh là là ! Qu'est-ce qu'ils allaient s'ennuyer !",B2,Verbs Tenses & Conjugation,810,1619
imparfait de aller,utiliser l'imparfait du verbe 'aller' pour construire le futur proche dans le passé,"J'allais fermer
Tu allais manquer
Elle allait appeler
Allions-nous y arriver
Vous alliez vous rejoindre
Ils allaient s'ennuyer",B2,Verbs Tenses & Conjugation,810,1620
différence imparfait / passé composé,distinguer entre une intention passée (imparfait) et une action accomplie (passé composé),"J'allais fermer la porte quand tu m'as appelé.
Je suis allé faire mes devoirs.",B2,Verbs Tenses & Conjugation,811,1621
pour que + subjonctif,utiliser une subordonnée introduite par 'pour que' suivie du verbe au subjonctif pour exprimer un but ou une intention,"J'apprends le tango pour que nous dansions ensemble.
Je lui explique pour qu'il comprenne.
Je te le dis pour que tu ne sois pas surpris.
Je te donne mes clés pour que tu puisses entrer.",B2,Prepositions & Conjunctions,811,1622
afin que + subjonctif,exprimer un but de manière plus formelle ou élégante en utilisant 'afin que' suivi du subjonctif,Je te donne mes clés afin que tu puisses entrer.,B2,Prepositions & Conjunctions,812,1623
subjonctif présent,"conjuguer un verbe au subjonctif présent après une expression de volonté, de souhait ou de but","dansions
comprenne
sois
puisses",B2,Prepositions & Conjunctions,812,1624
pluperfect,utiliser le plus-que-parfait pour exprimer une action passée antérieure à une autre action passée,"J'avais mangé tous les biscuits, et il n'en restait aucun pour les invités !
Si nous l'avions choisi, nous l'aurions regretté.
Après qu'elle lui avait avoué ce qu'elle ressentait, elle avait rougi.
Vous aviez aimé ce concert.
Aviez-vous répondu à sa lettre à l'époque ?
Ils avaient tous entendu ce bruit.",B2,Verbs Tenses & Conjugation,813,1625
#NAME?,former le participe passé d'un verbe régulier en -er en remplaçant -er par -é,"mangé
aimé",B2,Verbs Tenses & Conjugation,813,1626
#NAME?,former le participe passé d'un verbe régulier en -ir en remplaçant -ir par -i,"choisi
avoué",B2,Verbs Tenses & Conjugation,814,1627
#NAME?,former le participe passé d'un verbe régulier en -dre en remplaçant -dre par -du,"entendu
répondu",B2,Verbs Tenses & Conjugation,814,1628
auxiliary avoir,conjuguer l'auxiliaire avoir à l'imparfait pour construire le plus-que-parfait,"j'avais
nous avions
elle avait
vous aviez
ils avaient",B2,Verbs Tenses & Conjugation,815,1629
ce/cette/cet/ces + durée -là/-ci,"utiliser un adjectif démonstratif avec une durée et un accent temporel (-là ou -ci) pour indiquer quelque chose de précis dans le temps, proche (ceci) ou éloigné (cela) du moment présent","Ce soir-là, quelque chose d'extraordinaire s'est produit.
Oh non, j'étais en vacances cette semaine-là!
Dans ces moments-là, on ne sait jamais quoi faire.
Ce matin-là, je me lèverai tôt.
Elle se maria cette année-là.
Je ne me sens pas super bien ces jours-ci.",B2,Adjectives & Adverbs,815,1630
distinction entre -là et -ci,"ajouter -là pour désigner une durée passée ou future éloignée, et -ci pour une durée proche du présent","cette semaine-là
ces jours-ci",B2,Adjectives & Adverbs,816,1631
expressions idiomatiques temporelles,"remplacer l'expression littérale par une formulation plus naturelle en français courant pour certaines durées, comme 'in those days'","À cette époque-là, les femmes n'avaient pas le droit de vote.
(en lieu et place de *ces jours-là)",B2,Adjectives & Adverbs,816,1632
pluperfect,conjuguer des verbes au plus-que-parfait pour exprimer une action antérieure à une autre action passée,"Quand j'avais fini mes devoirs, je suis parti me promener.
I'd already been disappointed by her before.",B2,Verbs Tenses & Conjugation,817,1633
être au plus-que-parfait,utiliser le verbe être conjugué à l'imparfait suivi du participe passé pour former le plus-que-parfait avec certains verbes pronominaux ou de mouvement,"J'avais déjà été déçu par elle avant.
Tu avais été heureux un temps, avant de te lasser.",B2,Verbs Tenses & Conjugation,817,1634
avoir au plus-que-parfait,utiliser le verbe avoir conjugué à l'imparfait suivi du participe passé pour former le plus-que-parfait avec la majorité des verbes,"Il avait fait le tour du monde avant la naissance de sa fille.
Nous avions eu froid cette nuit-là.",B2,Verbs Tenses & Conjugation,818,1635
faire au plus-que-parfait,conjuguer le verbe faire au plus-que-parfait pour exprimer une action achevée dans le passé antérieur,Vous aviez même fait un gâteau pour l'occasion.,B2,Verbs Tenses & Conjugation,818,1636
prendre au plus-que-parfait,utiliser le verbe prendre conjugué avec avoir à l'imparfait pour exprimer une action passée antérieure,"Nous avions pris nos places en avance mais nous n'avons pas pu y aller au final.
Mes cousins avaient pris le train pour venir.",B2,Verbs Tenses & Conjugation,819,1637
vouloir au plus-que-parfait,exprimer une intention passée antérieure à une autre action passée avec le verbe vouloir,Elles avaient juste voulu aider.,B2,Verbs Tenses & Conjugation,819,1638
participe passé,"identifier et utiliser correctement les participes passés irréguliers (été, eu, fait, pris, voulu) dans le plus-que-parfait","avais été
avait eu
avions pris
avaient voulu",B2,Verbs Tenses & Conjugation,820,1639
avant de + infinitif,utiliser une locution prépositive suivie d'un infinitif pour exprimer 'avant de faire quelque chose',"Ferme la porte à clé avant de partir !
Elle veut vérifier avant de prendre une décision.
Avant de commencer, il aimerait porter un toast.",B2,Prepositions & Conjunctions,820,1640
pronoms objets avec avant de,"placer les pronoms objets (COD, COI) entre 'de' et l'infinitif dans une structure avec 'avant de'","J'étais malheureux avant de te rencontrer.
J'avais des doutes avant de lui parler.
Lisez ce contrat avant de nous contacter.",B2,Prepositions & Conjunctions,821,1641
avant que + subjonctif,utiliser la conjonction 'avant que' suivie du subjonctif pour exprimer une action future antérieure,"See the more advanced
Avant que + ne explétif + the subjunctive mood (Le Subjonctif) = Before I do in French",B2,Prepositions & Conjunctions,821,1642
plus-que-parfait avec être,conjuguer un verbe pronominal ou de mouvement avec l'auxiliaire être au plus-que-parfait pour exprimer une action antérieure à une autre action passée,"J'étais allé aux Etats-Unis une fois avant de le rencontrer.
Étais-tu allé voir ""Matrix"" cette année-là ?
Elle était allée à l'université.",B2,Verbs Tenses & Conjugation,822,1643
accord du participe passé avec être,accorder le participe passé avec le sujet quand l'auxiliaire est être,"Elle était allée à l'université.
Nous étions allés la voir immédiatement.
Elles étaient allées manger une glace avant de prendre le train.",B2,Verbs Tenses & Conjugation,822,1644
formation du plus-que-parfait,former le plus-que-parfait en conjuguant l'auxiliaire être à l'imparfait suivi du participe passé du verbe,"J'étais allé
Elle était tombée
Nous étions restés",B2,Verbs Tenses & Conjugation,823,1645
verbes avec être (MRS VANDERTRAMP),"utiliser être comme auxiliaire pour les verbes de mouvement et changement d'état (comme aller, venir, partir, sortir, etc.) au plus-que-parfait","Elle était déjà partie quand je suis arrivée.
J'étais sorti de la voiture quand je les ai entendus.
Nous étions très surpris de les voir, car ils n'étaient pas venus ici depuis trois ans.",B2,Verbs Tenses & Conjugation,823,1646
attendre quelqu'un,utiliser le verbe 'attendre' suivi d'un complément d'objet direct pour exprimer l'action de patienter pour une personne ou une chose,"J'attends mon frère tous les jours à la même heure.
Elle les attendra près de la fontaine.
Tu l'attends encore ?",B2,"Idioms, Idiomatic Usage, and Structures",824,1647
attendre un bébé,utiliser 'attendre' dans un contexte de grossesse pour dire 'être enceinte' ou 'attendre un enfant',"Nous attendons un heureux événement.
Ma sœur attend un bébé.",B2,"Idioms, Idiomatic Usage, and Structures",824,1648
attendre de quelqu'un,"exprimer une attente envers quelqu’un (jugement, comportement) avec la structure 'attendre + quelque chose + de + quelqu’un'","J'attends plus de mes parents.
On attendait mieux de vous.
Elle n'attend pas grand-chose de lui.",B2,"Idioms, Idiomatic Usage, and Structures",825,1649
s'attendre à quelque chose,"utiliser la forme pronominale pour exprimer une anticipation ou une attente par rapport à un événement futur, souvent avec une connotation émotionnelle","Ils s'attendent à son arrivée d'une minute à l'autre.
Tu t'attends toujours au pire.
Les marchés s'attendent à une hausse de l'inflation.",B2,"Idioms, Idiomatic Usage, and Structures",825,1650
s'attendre à + pronom y,remplacer une expression introduite par 'à' avec le pronom adverbial 'y' après 's'attendre à',"Nous ne nous attendions pas à te voir.
Je ne m'y attendais pas.",B2,"Idioms, Idiomatic Usage, and Structures",826,1651
attendre que + subjonctif,"formuler l’attente qu’une action se produise, avec le verbe 'attendre' suivi de 'que' et d'une proposition au subjonctif","Il attend que je fasse le dîner.
Nous avons attendu que ça s'arrête.",B2,"Idioms, Idiomatic Usage, and Structures",826,1652
s'attendre à ce que + subjonctif,"exprimer une attente subjective ou émotionnelle qu’un événement se produise, avec une proposition au subjonctif introduite par 'à ce que'","Je m'attendais à ce que tu me demandes en mariage.
Il ne s'attendait pas à ce que nous venions.
Je m'attends toujours à ce qu'il annule.",B2,"Idioms, Idiomatic Usage, and Structures",827,1653
plus-que-parfait pronominal,conjuguer un verbe pronominal au plus-que-parfait avec l'auxiliaire être,"Je m'étais trompé de date cette fois-là.
Tu t'étais maquillée vite car nous étions en retard.
Marie s'était habillée dans le noir pour ne pas le réveiller ce jour-là.
Nous nous étions enfin rappelés où c'était, mais c'était trop tard.
Vous vous étiez amusés cette nuit-là ?
Les animaux s'étaient enfuis pendant la nuit !",B2,Verbs Tenses & Conjugation,827,1654
accord du participe passé pronominal,accorder le participe passé avec le sujet quand le verbe pronominal est conjugué avec être,"Tu t'étais maquillée vite car nous étions en retard.
Marie s'était habillée dans le noir pour ne pas le réveiller ce jour-là.
Nous nous étions enfin rappelés où c'était, mais c'était trop tard.
Vous vous étiens amusés cette nuit-là ?",B2,Verbs Tenses & Conjugation,828,1655
structure du plus-que-parfait,former le plus-que-parfait avec pronom réfléchi + être à l’imparfait + participe passé,"Je m'étais trompé de date cette fois-là.
Nous nous étions enfin rappelés où c'était, mais c'était trop tard.
Les animaux s'étaient enfuis pendant la nuit !",B2,Verbs Tenses & Conjugation,828,1656
subjonctif présent,"utiliser le subjonctif présent après des expressions de volonté, de doute ou d’émotion","Ils n'arrivent pas à croire que je veuille rester !
C'est comme ça, que tu le veuilles ou pas.
Il faut déjà qu'il veuille bien m'aider.",B2,Verbs Tenses & Conjugation,829,1657
vouloir (subjonctif),conjuguer le verbe irrégulier « vouloir » au subjonctif présent,"que je veuille
que tu veuilles
qu'il/elle/on veuille
que nous voulions
que vous vouliez
qu'ils/elles veuillent",B2,Verbs Tenses & Conjugation,829,1658
formes nous/vous,reconnaître que les formes « nous » et « vous » du subjonctif présent de « vouloir » sont identiques à celles de l’imparfait de l’indicatif,"que nous voulions
que vous vouliez",B2,Verbs Tenses & Conjugation,830,1659
racine irrégulière,"identifier la racine irrégulière « veuill- » pour les personnes je, tu, il/elle, ils/elles au subjonctif présent","que je veuille
que tu veuilles
qu'il veuille
qu'ils veuillent",B2,Verbs Tenses & Conjugation,830,1660
pluperfect,utiliser le plus-que-parfait pour exprimer une action passée antérieure à une autre action passée,"J'avais dû en racheter un nouveau après que Patrick avait cassé le mien.
Tu avais dû le licencier finalement.
Si elle avait dû le faire, vous auriez eu des problèmes.
Nous avions dû nettoyer la maison avant que mes parents ne vissent le désordre.
Si vous aviez dû, l'auriez-vous fait ?
Elles avaient dû repasser l'examen, après qu'elles avaient échoué les trois premières fois!",B2,Verbs Tenses & Conjugation,831,1661
devoir au plus-que-parfait,conjuguer le verbe 'devoir' au plus-que-parfait avec l'auxiliaire 'avoir' à l'imparfait + le participe passé 'dû',"J'avais dû
Tu avais dû
Elle avait dû
Nous avions dû
Vous aviez dû
Elles avaient dû",B2,Verbs Tenses & Conjugation,831,1662
avoir à l'imparfait,utiliser la forme correcte de l'auxiliaire 'avoir' à l'imparfait pour construire le plus-que-parfait,"j'avais
tu avais
il avait
nous avions
vous aviez
ils avaient",B2,Verbs Tenses & Conjugation,832,1663
dont = whose,utiliser 'dont' pour exprimer la possession comme 'whose' en anglais,"Une fille dont le frère travaillait avec moi...
J'ai rencontré cet acteur dont le nom me dit quelque chose...
Tu as jeté la chaussure dont le talon est cassé.",B2,Prepositions & Conjunctions,832,1664
structure avec dont,construire une proposition relative avec 'dont' en remplaçant 'de + possession',"La sœur de Marc -> Marc, dont la sœur est journaliste, ...",B2,Prepositions & Conjunctions,833,1665
séparation dans dont,comprendre que 'dont' peut être séparé du nom possédé par un verbe,"François, dont j'ai rencontré la femme le mois dernier.",B2,Prepositions & Conjunctions,833,1666
de qui vs dont,"savoir que 'de qui' peut parfois remplacer 'dont' avec une personne, mais c'est moins naturel","Les enfants, de qui je connais la maman, sont bien élevés.",B2,Prepositions & Conjunctions,834,1667
erreurs à éviter,éviter d'utiliser 'duquel/de laquelle/desquels/desquelles' pour exprimer la possession,"ATTENTION : Dans le contexte de possession (whose), vous n'utiliserez pas duquel, de laquelle, desquels ni desquelles.",B2,Prepositions & Conjunctions,834,1668
pluperfect,utiliser le plus-que-parfait pour exprimer une action antérieure à une autre action passée,"Je n'avais jamais pu parler correctement avant.
Tu avais pu leur dire au revoir avant qu'ils ne partent.
Il n'avait jamais pu lui avouer la vérité.",B2,Verbs Tenses & Conjugation,835,1669
pouvoir au plus-que-parfait,conjuguer le verbe pouvoir au plus-que-parfait avec l'auxiliaire avoir à l'imparfait + le participe passé 'pu',"Si nous avions pu, nous n'aurions jamais commencé.
Vous aviez pu le voir une dernière fois.
Ils n'avaient jamais pu l'admettre.",B2,Verbs Tenses & Conjugation,835,1670
construction du plus-que-parfait,former le plus-que-parfait avec l'auxiliaire avoir à l'imparfait suivi du participe passé du verbe principal,"j'avais pu
tu avais pu
il avait pu
nous avions pu
vous aviez pu
ils avaient pu",B2,Verbs Tenses & Conjugation,836,1671
hier / demain,utiliser hier et demain pour parler du jour précédent ou suivant par rapport au présent,"Hier, je suis allée nager.
Aujourd'hui, je reste à la maison.
Demain, j'irai travailler.",B2,"Numbers, Time & Date",836,1672
le lendemain / la veille,exprimer le jour après ou avant un événement passé ou futur (point de vue narratif),"Le lendemain, j'allais m'inscrire à l'université.
La veille, nous avions découvert la vérité.
Le lendemain, je partirai pour Paris.
La veille, elle aura tout préparé pour son arrivée.",B2,"Numbers, Time & Date",837,1673
la veille de + nom,"dire le jour avant un événement spécifique, suivi d’un nom (pas d’un verbe conjugué)","Le lendemain de son départ, elle fut soulagée.
La veille de ta naissance, nous étions encore en train de décorer ta chambre.
Le lendemain du mariage, ils partiront en lune de miel.",B2,"Numbers, Time & Date",837,1674
le jour d'après / le jour d'avant,"exprimer oralement le jour suivant ou précédent, moins formel que le lendemain/la veille","J'y suis allée le jour d'après.
Elle lui avait parlé le jour d'avant.
Le jour d'avant, tu auras rempli le frigo.",B2,"Numbers, Time & Date",838,1675
le jour suivant / le jour précédent,"utiliser dans un contexte passé ou futur pour dire le jour après ou avant, souvent plus formel","Le jour suivant, Ali Baba retourna à la grotte.
Le jour précédent, ils avaient quitté leur vieil appartement.
Olivier plantera les graines le jour suivant.",B2,"Numbers, Time & Date",838,1676
le jour suivant / précédent + nom,"préciser le jour après ou avant un événement spécifique, avec un nom directement après","Il a été relâché le jour suivant son arrestation.
Le jour précédant leur premier rendez-vous, ils étaient très nerveux.
Le jour suivant ses examens, Sylvie ira au cinéma avec ses amis.",B2,"Numbers, Time & Date",839,1677
la veille au soir / au matin,"spécifier l’heure de la veille (soir ou matin), mais pas l’après-midi","Je l'avais vu la veille au soir.
La veille au matin, il s'était réveillé avec la gueule de bois.",B2,"Numbers, Time & Date",839,1678
jours de la semaine + d'avant / d'après / précédent / suivant,parler d’un jour spécifique de la semaine passé ou futur,"Le jeudi d'après, elle était partie.
Le mercredi d'avant, elle lui avait dit toute la vérité.
Tu veux dire ce lundi ou le lundi suivant ?
Le vendredi précédent, il était allé la voir sur scène.",B2,"Numbers, Time & Date",840,1679
conditionnel passé avec avoir,"conjuguer des verbes réguliers (-er, -ir, -dre) au conditionnel passé en utilisant l'auxiliaire avoir au conditionnel présent + participe passé","Il aurait appelé la victime vers 8 heures.
Tu aurais fini tes devoirs si tu n'avais pas joué à la console.
Nous aurions vraiment aimé vous voir !
Nous aurions perdu le match sans Zidane.
Marc aurait vendu sa voiture s'il avait su.
Apparemment, ils auraient corrompu les juges.",B2,Verbs Tenses & Conjugation,840,1680
structure du conditionnel passé,"former le conditionnel passé avec l’auxiliaire avoir conjugué au conditionnel présent (j’aurais, tu aurais, etc.) + le participe passé du verbe principal","aurais fini
aurait appelé
aurions perdu
auraient corrompu",B2,Verbs Tenses & Conjugation,841,1681
verbes avec être au conditionnel passé,"utiliser l’auxiliaire être au lieu de avoir pour certains verbes de mouvement au conditionnel passé, comme au passé composé",Voir d'autres leçons : Conjugate verbs (+ être) in the conditional past in French,B2,Verbs Tenses & Conjugation,841,1682
bien que + subjonctif,utiliser une conjonction de concession suivie du subjonctif pour exprimer une opposition ou une surprise,"Elle ne le fait pas, bien qu'elle le puisse.
Bien que l'on ne s'entende pas, c'est quand même mon frère !
Je suis en retard bien que je sois parti à l'heure.
Bien qu'il ne soit pas fatigué, il devrait aller se coucher.",B2,Prepositions & Conjunctions,842,1683
quoique + subjonctif,"exprimer une concession avec une conjonction moins courante, suivie du subjonctif","Elle ne le fait pas, quoiqu'elle le puisse.
Quoique je veuille venir, mes parents n'accepteront jamais.
Quoique le prix ait augmenté, ça vaut quand même la peine de l'acheter.
Je te souhaite de réussir, quoique cela me paraisse difficile.",B2,Prepositions & Conjunctions,842,1684
quoi que + subjonctif,introduire une condition quelconque (équivalent de 'quoi qu'il arrive') avec le subjonctif,"Quoi qu'il fasse, ne bouge pas d'un poil !
Quoi que vous pensiez, gardez-le pour vous !",B2,Prepositions & Conjunctions,843,1685
aimer bien que + subjonctif,utiliser une expression de préférence ou de souhait suivie de 'que' et du subjonctif,J'aimerais bien que tu fasses le petit-déjeuner.,B2,Prepositions & Conjunctions,843,1686
conditionnel passé,utiliser le conditionnel passé pour exprimer une action hypothétique ou irréelle dans le passé,"J'aurais eu un frère si mes parents l'avaient voulu.
Tu aurais fait un bon professeur.
Elle aurait été une danseuse extraordinaire.
Nous aurions été très déçus !
Vous auriez eu peur, vous ?
Ils auraient fait les magasins s'il n'avait pas plu.",B2,Verbs Tenses & Conjugation,844,1687
participe passé irrégulier,"reconnaître et utiliser les participes passés irréguliers (eu, fait, été) dans le conditionnel passé","eu
fait
été",B2,Verbs Tenses & Conjugation,844,1688
auxiliaire avoir,conjuguer l'auxiliaire avoir au conditionnel présent pour former le conditionnel passé des verbes pronominaux et des verbes transitifs,"J'aurais eu
Tu aurais fait
Ils auraient fait",B2,Verbs Tenses & Conjugation,845,1689
auxiliaire être,conjuguer l'auxiliaire être au conditionnel présent pour former le conditionnel passé des verbes pronominaux et de certains verbes intransitifs,"Elle aurait été
Nous aurions été",B2,Verbs Tenses & Conjugation,845,1690
ne pas + infinitif,utiliser la négation avant l'infinitif dans un discours indirect,"Le professeur dit de ne pas courir.
Il est important de ne pas bouger.
Il m'a appris à ne pas avoir peur.
J'espère ne pas faire d'erreurs.",B2,Negative Words & Constructions,846,1691
ne pas + pronom + infinitif,placer la négation avant le pronom qui précède l'infinitif,"Ma mère m'a dit de ne pas le faire.
Je t'ai demandé de ne pas lui dire.",B2,Negative Words & Constructions,846,1692
conditionnel passé avec être,conjuguer un verbe avec l'auxiliaire être au conditionnel passé pour exprimer une action hypothétique passée,"Je serais allé en Australie si j'avais eu les moyens.
Tu y serais allée toi-même ?
Serait-elle déjà partie ?
Nous serions arrivés plus tôt s'il n'y avait pas eu d'embouteillage.
Seriez-vous partis si je vous l'avais demandé ?
Apparemment, ils seraient partis ce matin.
Selon Tom, elles seraient rentrées chez elles vers 3h.",B2,Verbs Tenses & Conjugation,847,1693
accord du participe passé avec être,accorder le participe passé avec le sujet quand l'auxiliaire est être,"Tu y serais allée toi-même ?
Serait-elle déjà partie ?
Nous serions arrivés plus tôt...
Seriez-vous partis...
Apparemment, ils seraient partis...
Selon Tom, elles seraient rentrées...",B2,Verbs Tenses & Conjugation,847,1694
verbes de mouvement avec être,utiliser l'auxiliaire être avec les verbes de mouvement au conditionnel passé,"je serais allé
serait partie
nous serions arrivés
vous seriez partis
elles seraient rentrées",B2,Verbs Tenses & Conjugation,848,1695
à qui,utiliser un pronom relatif pour introduire une proposition relative avec la préposition « à » appliquée à une personne ou un être vivant,"La fille à qui je pense est belle.
Le chat, à qui tu as fait peur, s'est caché sous le lit.
Marie et Juliette, à qui tu as menti, sont furieuses.
Mes amis, à qui j'écris régulièrement, viennent me voir bientôt.",B2,Pronouns,848,1696
auquel / à laquelle / auxquels / auxquelles,"utiliser un pronom relatif avec accord en genre et en nombre pour introduire une proposition relative avec la préposition « à » appliquée à un objet, un concept ou un être vivant","La fille à laquelle je pense est belle.
Le chat, auquel tu as fait peur, s'est caché sous le lit.
Ce problème, auquel je ne comprends rien, m'énerve !
Marie et Juliette, auxquelles tu as menti, sont furieuses.
Mes amis, auxquels j'écris régulièrement, viennent me voir bientôt.",B2,Pronouns,849,1697
proposition relative avec préposition,construire une proposition relative introduite par une préposition (ici « à ») suivie d’un pronom relatif adapté,"La fille à qui je pense est belle.
Le chat, auquel tu as fait peur, s'est caché sous le lit.
Ce problème, auquel je ne comprends rien, m'énerve !",B2,Pronouns,849,1698
devoir au conditionnel passé,utiliser devoir au conditionnel passé pour exprimer un regret ou une obligation non accomplie dans le passé (« should have »),"J'aurais dû manger plus tôt.
Tu aurais dû fermer la porte à clé.
Elle aurait dû freiner plus tôt.
Nous n'aurions pas dû l'écouter.
Vous auriez dû la prévenir.
Ils auraient dû prendre le bus à la place.",B2,Verbs Tenses & Conjugation,850,1699
construction du conditionnel passé,former le conditionnel passé avec le conditionnel présent de l'auxiliaire (avoir/être) + le participe passé du verbe principal,"aurais dû manger
aurait dû freiner
aurions dû écouter",B2,Verbs Tenses & Conjugation,850,1700
différence anglais-français conditionnel passé,comprendre que le français utilise devoir + infinitif au conditionnel passé là où l'anglais utilise le participe passé après 'should have',"I should have eaten earlier = J'aurais dû manger plus tôt
You should have locked the door = Tu aurais dû fermer la porte à clé",B2,Verbs Tenses & Conjugation,851,1701
pouvoir au conditionnel passé,exprimer une possibilité passée non réalisée avec pouvoir au conditionnel passé (« could have »),Tu aurais pu venir plus tôt. (non fourni dans le texte mais pertinent par comparaison),B2,Verbs Tenses & Conjugation,851,1702
il est + adjectif + que + subjonctif,utiliser la structure « il est [adjectif] que » suivie du subjonctif présent pour exprimer une opinion ou une nécessité subjective,"Il est important que l'on agisse de façon responsable.
Il est important que les enfants ne fassent pas de bêtises.
Il est nécessaire que tu comprennes cette leçon.",B2,Verbs Tenses & Conjugation,852,1703
